id,label,size,statuses_count,followers_count,friends_count,listed_count,favourites_count,klout_score,klout_score_bucket,kred_influence,kred_outreach,indegree,outdegree,degree,weighted degree,weighted indegree,weighted outdegree,eccentricity,closnesscentrality,betweenesscentrality,eigencentrality,newClusteringCoefficient,clustering,componentnumber,strongcompnum,pageranks,authority,hub,modularity_class
44366939,geckospots,10.0,2827.0,71.0,155.0,2.0,19.0,40.93192316232312,40-49,640.0,6.0,2,3,5,5.0,2.0,3.0,7.0,3.0228095582910934,6.616042256515942,0.006789857699940155,0.1,0.33333334,0,59,6.145639297450098E-5,2.0324514E-5,2.0571053E-5,25
16180205,joycemurray,10.0,3607.0,5556.0,4002.0,338.0,21.0,65.37657310089254,60-69,784.0,6.0,421,275,696,696.0,421.0,275.0,6.0,2.149167270094135,145459.63790998104,0.4024540607249487,0.031210204250392788,0.09224482,0,59,0.002359136746194974,0.0028589817,0.0028456622,175
18004988,Darkcreations,10.0,7105.0,319.0,499.0,10.0,4.0,41.0208098071191,40-49,662.0,6.0,2,2,4,4.0,2.0,2.0,7.0,2.7929036929761044,0.0,0.010412904009833692,0.08333333333333333,1.0,0,59,6.138841666466816E-5,2.0324514E-5,2.0571053E-5,175
594984816,noneofitwastrue,10.0,8299.0,155.0,188.0,2.0,9.0,35.421565421306745,30-39,715.0,7.0,14,16,30,30.0,14.0,16.0,7.0,3.0948587979724835,1384.9600176143797,0.012120380542427254,0.10459770114942529,0.25889328,0,59,1.0921887386940765E-4,1.0162257E-4,1.02855265E-4,175
852052230,richellebenoit,10.0,332.0,69.0,287.0,0.0,21.0,33.740258181878076,30-39,485.0,4.0,2,9,11,11.0,2.0,9.0,7.0,2.777697320782042,1.8725889934516249,0.004613296901644524,0.17272727272727273,0.375,0,59,5.8161393100995644E-5,2.0324514E-5,2.0571053E-5,175
456984469,ACFO_TO,10.0,9139.0,879.0,1695.0,15.0,2.0,45.904857327530834,40-49,651.0,8.0,14,37,51,51.0,14.0,37.0,6.0,2.6412020275162926,327.70685379626065,0.007307861272300355,0.10901960784313726,0.25604552,0,59,1.0504350777663188E-4,1.0162257E-4,9.599824E-5,175
251176847,DianeTremblayH,10.0,1262.0,293.0,398.0,11.0,2.0,32.217167760355096,30-39,661.0,5.0,9,11,20,20.0,9.0,11.0,7.0,2.796524257784214,179.56918130003734,0.011002482131477757,0.1394736842105263,0.43956044,0,59,1.120641132597454E-4,6.7748384E-5,6.8570174E-5,182
1091259852,unruly_1,10.0,18.0,7.0,82.0,1.0,0.0,19.464593777947357,10-19,47.0,2.0,0,3,3,3.0,0.0,3.0,7.0,3.040173724212812,0.0,0.0,0.3333333333333333,0.5,0,368,4.766339181938244E-5,0.0,6.8570175E-6,25
431403044,TylerMurnaghan,10.0,227.0,68.0,105.0,0.0,2.0,28.61783862851631,20-29,538.0,3.0,5,13,18,18.0,5.0,13.0,6.0,2.738957277335264,14.779393653594493,0.00470323207821659,0.1830065359477124,0.5192308,0,59,6.451065540557523E-5,4.064903E-5,4.1142106E-5,25
496657261,CanadaFred,10.0,1014.0,34.0,51.0,0.0,11.0,19.799825202800598,10-19,398.0,5.0,1,2,3,3.0,1.0,2.0,7.0,3.1368573497465606,0.0,3.349521486516443E-4,0.5,0.5,0,59,4.951570763288058E-5,1.3549677E-5,1.3714035E-5,77
212691017,AmeEspinosaa,10.0,1101.0,153.0,543.0,0.0,59.0,31.961840950690245,30-39,599.0,5.0,1,1,2,2.0,1.0,1.0,3.0,2.0,0.0,8.095914281419891E-5,0.0,0.0,48,133,8.05725874402837E-5,1.3549677E-5,1.3714035E-5,127
1195139166,Fernandajrz97,10.0,1123.0,90.0,218.0,0.0,4.0,41.663488726994,40-49,597.0,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167,369,4.766339181938244E-5,0.0,0.0,165
900481465,LouiseDgdn,10.0,15415.0,217.0,177.0,0.0,730.0,45.58309909892699,40-49,759.0,7.0,6,8,14,14.0,6.0,8.0,3.0,1.6111111111111112,57.050000000000004,5.246253561740245E-4,0.06593406593406594,0.30357143,58,182,1.7567774522348075E-4,4.742387E-5,4.799912E-5,166
193370454,BlackburnEssex,10.0,13412.0,2182.0,653.0,50.0,5.0,51.725143596458814,50-59,743.0,6.0,17,13,30,30.0,17.0,13.0,7.0,2.943157132512672,875.9084349207886,0.009287352247307529,0.11609195402298851,0.3030303,0,59,1.510479890086778E-4,1.2194709E-4,1.2342632E-4,175
16751014,daroco,10.0,683.0,164.0,1149.0,0.0,4.0,19.713266200918248,10-19,613.0,5.0,4,52,56,56.0,4.0,52.0,6.0,2.513034033309196,54.74484018204761,0.003108062275294629,0.2753246753246753,0.44584206,0,59,5.817597661464268E-5,3.3874192E-5,3.4285087E-5,175
833513995,lfay_lorraine,10.0,8777.0,449.0,2001.0,8.0,1188.0,49.61958464499424,40-49,612.0,8.0,2,38,40,40.0,2.0,38.0,7.0,2.821506154960174,21.652678857256966,4.846313978133951E-4,0.2153846153846154,0.33805668,0,59,5.473197840755652E-5,2.0324514E-5,2.0571053E-5,175
14560937,oneguycoding,10.0,2330.0,50.0,131.0,3.0,125.0,29.60314564927866,20-29,530.0,5.0,2,3,5,5.0,2.0,3.0,7.0,3.100289645184649,0.4235653827936465,0.0033683164697691876,0.2,0.41666666,0,59,5.936703473744953E-5,2.0324514E-5,2.0571053E-5,175
145647271,telfordk,10.0,2324.0,1277.0,804.0,21.0,5.0,51.49317153021392,50-59,684.0,6.0,119,95,214,214.0,119.0,95.0,6.0,2.380521361332368,1972.2082280662457,0.19394114490499686,0.1221096046685095,0.2989907,0,59,0.00103552213616106,8.129806E-4,8.228421E-4,175
1197624048,BecklfvRena,10.0,14.0,3.0,92.0,0.0,0.0,,,13.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168,370,4.766339181938244E-5,0.0,0.0,167
1141969986,Misenos,10.0,409.0,97.0,114.0,1.0,5.0,43.383943758809885,40-49,580.0,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169,371,4.766339181938244E-5,0.0,0.0,168
54169562,Blaiserboy,10.0,13098.0,2082.0,1959.0,5.0,0.0,51.47244358846715,50-59,734.0,7.0,53,51,104,104.0,53.0,51.0,6.0,2.3559015206372194,1251.4097017731415,0.08657266244707183,0.04845033607169529,0.3149492,0,59,2.2607497526394305E-4,3.6584126E-4,3.7027895E-4,77
271762869,happytovote,10.0,4448.0,402.0,959.0,9.0,27.0,40.040381224441774,40-49,650.0,7.0,19,58,77,77.0,19.0,58.0,7.0,2.5343953656770455,2215.7886598541427,0.016041659776400118,0.11192754613807246,0.28342408,0,59,1.238526949468107E-4,1.3549677E-4,1.3714035E-4,175
719102646,MervAdey,10.0,2571.0,194.0,572.0,4.0,44.0,47.21085347904872,40-49,674.0,7.0,45,87,132,132.0,45.0,87.0,7.0,2.39572773352643,2384.6107117011593,0.04451910525986701,0.0962294702752718,0.292674,0,59,1.8797659856502325E-4,3.1164257E-4,3.154228E-4,182
416746210,chasm_of_nicety,10.0,1164.0,28.0,16.0,0.0,6.0,26.19581643954473,20-29,570.0,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170,372,4.766339181938244E-5,0.0,0.0,169
1147690638,KrasnikovDmitry,10.0,938.0,5.0,3.0,0.0,0.0,19.296176742610733,10-19,55.0,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171,373,4.766339181938244E-5,0.0,0.0,170
65027992,MartaAnso_,10.0,7711.0,298.0,306.0,2.0,61.0,46.32585170886697,40-49,731.0,7.0,1,1,2,2.0,1.0,1.0,1.0,1.0,0.0,8.095914281419891E-5,0.0,0.0,172,374,3.177448371356425E-4,1.3549677E-5,1.3714035E-5,171
28987867,davidhapgood,10.0,69.0,29.0,54.0,1.0,3.0,15.755881992649009,10-19,237.0,2.0,3,5,8,8.0,3.0,5.0,7.0,2.948587979724837,3.767593453257858,0.008772253907383733,0.10714285714285714,0.4,0,59,7.81217706299952E-5,2.7099353E-5,2.742807E-5,25
293106824,anicaribaforada,10.0,1382.0,193.0,241.0,1.0,2.0,37.97390726541175,30-39,634.0,5.0,1,1,2,2.0,1.0,1.0,1.0,1.0,0.0,8.095914281419891E-5,0.0,0.0,172,374,3.177448371356425E-4,1.3549677E-5,1.3714035E-5,171
1058370912,FletJan,10.0,1842.0,51.0,58.0,0.0,10.0,47.66713387997671,40-49,613.0,5.0,12,12,24,24.0,12.0,12.0,6.0,2.820419985517741,39.93353658932733,0.009430564068221198,0.1105072463768116,0.251634,0,59,8.137754818853693E-5,8.80729E-5,8.914123E-5,77
635864855,Terry1987jets,10.0,208.0,165.0,153.0,0.0,40.0,42.62750044289811,40-49,641.0,6.0,2,2,4,4.0,2.0,2.0,8.0,3.444243301955105,0.39403448143375014,7.637219803407573E-4,0.16666666666666666,0.6666667,0,59,5.3967307997493266E-5,2.0324514E-5,2.0571053E-5,175
20020860,NaturesYear,10.0,307.0,202.0,49.0,13.0,3.0,44.79477333194445,40-49,561.0,3.0,2,2,4,4.0,2.0,2.0,7.0,3.1375814627081824,4.408573928432457,0.003414277507764512,0.08333333333333333,0.5,0,59,6.056654819830694E-5,2.0324514E-5,2.0571053E-5,175
