id,label,size,statuses_count,followers_count,friends_count,listed_count,favourites_count,klout_score,klout_score_bucket,kred_influence,kred_outreach,indegree,outdegree,degree,weighted degree,weighted indegree,weighted outdegree,eccentricity,closnesscentrality,betweenesscentrality,eigencentrality,newClusteringCoefficient,clustering,componentnumber,strongcompnum,pageranks,authority,hub,modularity_class,interaction_count,knowledge_count
400144770,thedrachms,10.0,31.0,6.0,13.0,1.0,0.0,14.105951047749983,10-19,17.0,0.0,1,1,2,2.0,1.0,1.0,1.0,1.0,0.0,7.698416819939779E-5,0.0,0.5,0,0,4.0082829048270765E-4,1.198308E-5,1.2138721E-5,279,0,0
127551326,packermanno,10.0,13.0,5.0,109.0,0.0,0.0,16.202198876735622,10-19,25.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,5.5712890053363746E-5,0.0,0.0,0,0,0
856928725,CpcBallycastle,10.0,49.0,187.0,13.0,0.0,0.0,41.33313003179137,40-49,518.0,2.0,11,0,11,11.0,11.0,0.0,0.0,0.0,0.0,8.732981006210109E-4,0.24545454545454545,0.36363637,2,2,4.8045420192143715E-4,7.189848E-5,0.0,440,45,0
887461274,ArthurPPrice,10.0,19.0,2.0,18.0,0.0,0.0,16.063285783848457,10-19,2.0,1.0,0,0,0,0.0,0.0,0.0,7.0,3.2904953145917,0.0,0.0,0.0,0.0,3,3,5.5712890053363746E-5,0.0,6.0693606E-6,1,0,0
316842662,Sallie_Lama,10.0,4.0,133.0,381.0,1.0,88.0,41.104604203225556,40-49,605.0,5.0,2,2,4,4.0,2.0,2.0,7.0,2.5674589889521258,26.32624430659492,0.022710950009476864,0.0,0.0,0,135,6.758567243553238E-5,7.789002E-5,7.8901685E-5,436,4,0
1272977286,BoonevilleCPC,10.0,3.0,2.0,12.0,0.0,0.0,11.063285783848436,10-19,6.0,1.0,1,1,2,2.0,1.0,1.0,1.0,1.0,0.0,7.49471721243357E-5,0.0,0.0,4,136,3.7138368641447905E-4,1.198308E-5,1.2138721E-5,100,0,0
1268250757,JillianLCurtin,10.0,1.0,4.0,13.0,0.0,0.0,14.151882817248719,10-19,25.0,1.0,3,3,6,6.0,3.0,3.0,7.0,2.8901908269166388,3391.8367320737193,0.0012685438411209292,0.06666666666666667,0.33333334,0,135,1.4069350386556231E-4,2.396616E-5,2.4277442E-5,263,0,0
1250238986,CanadianPoliKid,10.0,33.0,8.0,196.0,0.0,0.0,14.720768866651824,10-19,31.0,2.0,0,8,8,8.0,0.0,8.0,7.0,2.64190093708166,0.0,0.0,0.42857142857142855,0.66071427,0,137,5.5712890053363746E-5,0.0,6.0693606E-6,53,1,0
937513957,adamdasilva3,10.0,4.0,0.0,2.0,0.0,0.0,10.0,10-19,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,138,5.5712890053363746E-5,0.0,0.0,2,1,0
1249794612,NDPInduNPD,10.0,6.0,12.0,5.0,0.0,0.0,22.71963144989558,20-29,86.0,1.0,1,0,1,1.0,1.0,0.0,7.0,3.134917977904252,0.5995233295503756,0.009649893087802475,0.0,0.56666666,0,5,6.865773221466117E-5,3.594924E-5,3.6416164E-5,255,1,1
818131350,ROVCCalgary,10.0,48.0,16.0,11.0,0.0,0.0,19.44574680817525,10-19,168.0,1.0,1,1,2,2.0,1.0,1.0,8.0,4.621278019404483,0.0,7.49471721243357E-5,0.0,0.0,0,139,1.242910842067271E-4,1.198308E-5,1.2138721E-5,53,7,0
