id,label,size,statuses_count,followers_count,friends_count,listed_count,favourites_count,klout_score,klout_score_bucket,kred_influence,kred_outreach,indegree,outdegree,degree,weighted degree,weighted indegree,weighted outdegree,eccentricity,closnesscentrality,betweenesscentrality,eigencentrality,newClusteringCoefficient,clustering,componentnumber,strongcompnum,pageranks,authority,hub,modularity_class,old_clustering,interaction_count,temp_term_score,num_tweets,term_score_distinct_tweets,final_term_score,cluster_diff
105329140,ataratree,10,1299,354,1354,5,52,40.9956652258,40-49,506,5,2,9,11,11,2,9,8,3.5735815603,1235.0014244402,0.0160245023,0.0818181818,0.1388889,0,59,1.0126332236128961E-4,8.1151265E-5,8.2756334E-5,330,0.23517786,2,0,199,0,0,-0.09628896
224366663,ItsRyanClayton,10,8469,1683,1947,74,14,65.8833786466,60-69,759,7,72,79,151,151,72,79,6,2.8515070922,66996.3249414691,0.2609763725,0.0335099338,0.116161615,0,59,0.0015122806,0.0019746807,0.0020137376,330,0.21260087,240,0,200,0,0,-0.096439255
308821251,CanadaMarxists,10,421,258,8,11,12,35.9064774872,30-39,597,3,11,0,11,11,11,0,0,0,0,0.0230617165,0.1363636364,0.23636363,0,18,2.1826667063585414E-4,3.2460506E-4,0,320,0.33333334,6,0,199,0,0,-0.09696971
462908677,NLNDPCaucus,10,955,896,366,23,1,48.3592206401,40-49,692,5,40,9,49,49,40,9,8,3.8940602837,3819.6123110973,0.0880206751,0.0744047619,0.15737514,0,59,7.72931769643069E-4,0.0011090674,0.0011310033,250,0.25472838,163,0,200,0,0,-0.09735324
311736093,pop2cas,10,2953,102,609,3,9,43.1651375705,40-49,696,7,11,32,43,43,11,32,7,2.9618794326,3351.6357927198,0.0759625709,0.0664451827,0.18270944,0,59,1.960233334397507E-4,3.2460506E-4,3.3102534E-4,330,0.28024548,3,0,201,0,0,-0.09753604
318568724,FredOliver245,10,4907,73,61,0,74,16.897913174,10-19,561,7,10,6,16,16,10,6,7,3.4951241135,927.5494694398,0.057269196,0.075,0.18589744,0,59,2.0441847686911803E-4,2.9755465E-4,3.034399E-4,320,0.28362572,0,0,200,0,0,-0.09772828
306487463,teachingchrisb,10,486,168,232,8,1,40.0380239336,40-49,602,5,9,12,21,21,9,12,8,3.7375886525,4889.5824893276,0.0198215247,0.1238095238,0.47802198,0,59,5.501650965007566E-4,2.705042E-4,2.7585446E-4,212,0.57608694,10,0,198,0,0,-0.09806496
395119352,HolmanGary,10,38,146,168,7,1,48.2657885606,40-49,536,4,25,40,65,65,25,40,7,3.1205673759,17394.2645845634,0.0857313308,0.0459134615,0.16858974,0,59,4.709500253406649E-4,7.0331094E-4,7.172216E-4,330,0.26694915,33,0,179,0,0,-0.09835941
549359236,JohnnyManitoba,10,1285,144,843,0,5,24.5073801263,20-29,513,5,12,32,44,44,12,32,7,3.1294326241,5459.539309074,0.1263150468,0.0713530655,0.19251336,0,59,3.5383240448305436E-4,3.5165547E-4,3.586108E-4,66,0.29109064,8,0,200,0,0,-0.09857728
13282022,bluebeard,10,1678,292,858,3,54,45.5941825309,40-49,610,5,3,7,10,10,3,7,7,3.664893617,179.679507817,0.0092429393,0.0444444444,0.11904762,0,59,9.72286716037375E-5,1.0820169E-4,1.1034178E-4,320,0.21794872,1,0,200,0,0,-0.0989011
17161553,PeeJayAitch,10,2016,425,478,16,3,49.6893607792,40-49,697,5,21,13,34,34,21,13,7,3.4729609929,3194.5922940652,0.0791846674,0.0516934046,0.16485508,0,59,5.654642581808569E-4,5.951093E-4,6.068798E-4,330,0.26386914,227,0,200,0,0,-0.09901406
28990042,PierreMorinQc,10,54013,3221,666,131,64,57.569258925,50-59,881,9,18,8,26,26,18,8,8,3.8346631206,3626.00386095,0.0312838023,0.0369230769,0.12745099,0,59,5.33764308680538E-4,5.1395805E-4,5.241235E-4,96,0.22649573,43,0,201,0,0,-0.09904474
20495800,LombardiMike,10,3997,1606,1950,85,40,48.7757054335,40-49,712,6,45,48,93,93,45,48,7,3.045212766,18745.3450528356,0.2030493322,0.0404394577,0.21836735,0,59,0.0010777537,0.0012443194,0.0012689305,330,0.3174837,14,0,200,0,0,-0.09911635
261999441,philippejohnson,10,321,168,600,2,1,41.7078792649,40-49,537,4,15,27,42,42,15,27,8,3.0593971631,6840.0811920534,0.0768674948,0.0743321719,0.25,0,59,2.8521229705973344E-4,4.3280676E-4,4.4136713E-4,66,0.34961864,46,1,200,1,0.005,-0.09961864
43988109,selinarobinson,10,4680,867,474,47,17,49.4037112384,40-49,711,7,42,16,58,58,42,16,7,3.4153368794,22288.3897971241,0.1609453891,0.0780399274,0.1949495,0,59,0.0012045208,0.0011631681,0.0011585887,330,0.29464287,54,0,200,0,0,-0.09969337
361195351,bsichel,10,1946,470,749,20,40,49.100544193,40-49,673,6,24,36,60,60,24,36,7,3.1396276596,18391.6175228156,0.0737583474,0.0629943503,0.18770765,0,59,5.590615582404422E-4,6.7626056E-4,6.3446525E-4,322,0.2875383,30,0,200,0,0,-0.09983065
268538413,ActivistKent,10,698,770,630,17,71,49.8867243982,40-49,743,7,59,40,99,99,59,40,7,3.1254432624,23375.5579997962,0.176167547,0.0393733251,0.12091097,0,59,0.0011011282,0.0016230253,0.0016551268,212,0.22086306,147,3,200,3,0.015,-0.09995209
199354634,MovingBoxesca,10,15234,810,642,23,174,55.7186678304,50-59,734,7,3,3,6,6,3,3,8,4.1081560284,424.6737469642,0.0088386475,0,0,0,59,1.7321194257000614E-4,1.0820169E-4,1.1034178E-4,212,0.1,9,0,204,0,0,-0.1
154579171,connectLOCAL,10,2837,625,636,22,0,40.8422444335,40-49,603,6,2,3,5,5,2,3,7,3.7269503546,679.6297183507,8.409975178856361E-4,0,0,0,59,8.788717485440426E-5,8.1151265E-5,5.517089E-5,330,0.1,0,0,200,0,0,-0.1
42198561,TheMarthaChaves,10,1343,518,650,7,241,50.0689091998,50-59,646,6,9,7,16,16,9,7,7,3.3014184397,522.7335830897,0.0424962407,0.0125,0.083333336,0,59,1.6909399515173978E-4,2.705042E-4,2.7585446E-4,446,0.18333334,15,0,200,0,0,-0.100000004
1193732328,EcoBooks4Kids,10,139,345,1972,10,2,44.1202034229,40-49,493,4,4,11,15,15,4,11,7,3.4671985816,404.4244471462,0.0164778414,0.1,0.24545455,0,59,1.4857214013027834E-4,1.352521E-4,1.3792723E-4,330,0.3458498,4,0,157,0,0,-0.10039525
15830174,Emile_BC,10,17645,1510,1265,62,24,68.5437679819,60-69,764,8,47,38,85,85,47,38,7,3.125,28452.2754685711,0.2213561113,0.0238095238,0.09538784,0,59,0.0010522853,0.0012984202,0.0013241014,330,0.19596864,128,0,201,0,0,-0.1005808
312660421,OSConservatives,10,586,359,1131,8,1,45.55281812,40-49,623,4,29,53,82,82,29,53,7,2.9503546099,20544.4741496706,0.2546037791,0.041854863,0.13823351,0,59,4.8778486696265374E-4,8.1151264E-4,8.275634E-4,66,0.23930427,43,0,201,0,0,-0.10107076
34509503,MomaLoves,10,212,11,109,0,44,23.9905291452,20-29,416,4,0,3,3,3,0,3,7,4.0753212229,0,0,0.1666666667,0.16666667,0,565,5.875131382127692E-5,0,2.7585445E-5,320,0.26785713,2,0,200,0,0,-0.10119046
602446013,marshall_rita,10,2282,222,459,2,296,47.1373017678,40-49,624,6,12,21,33,33,12,21,7,3.1529255319,10681.4371891599,0.0510787105,0.0520833333,0.14426878,0,59,2.3532230223927736E-4,3.5165547E-4,3.586108E-4,446,0.24551971,45,0,195,0,0,-0.10125093
57994093,Beethro,10,408,61,488,0,1,20.0899216675,20-29,438,4,1,6,7,7,1,6,8,3.8625886525,2378.8876895397,0.0023470921,0.0714285714,0.11904762,0,59,7.398095114800983E-5,5.4100845E-5,5.517089E-5,96,0.22083333,2,0,200,0,0,-0.10178571
203646071,donnlovett,10,2150,332,529,7,2,45.5086370204,40-49,628,6,19,21,40,40,19,21,7,3.1786347518,4489.3974169545,0.1503546654,0.058974359,0.24666667,0,59,3.670123263706746E-4,5.410084E-4,5.517089E-4,66,0.34871098,43,0,202,0,0,-0.10204431
326461319,ktownareacouncl,10,1368,121,72,8,9,35.3307603168,30-39,560,6,18,9,27,27,18,9,7,3.6480496454,1488.012594135,0.0529512704,0.1011396011,0.25,0,59,5.634077105755091E-4,5.1395805E-4,5.241235E-4,320,0.35206258,23,1,200,1,0.005,-0.10206258
199833381,AlChwk,10,868,67,120,1,1,33.3640282859,30-39,573,5,6,6,12,12,6,6,8,3.9100177305,130.0763618322,0.0196102118,0.0681818182,0.32142857,0,59,1.9231709160833865E-4,1.8935296E-4,1.9309812E-4,330,0.42380953,76,1,199,1,0.0050251256,-0.10238096
399253284,debbiepalm44,10,12423,382,601,10,51,49.2217389423,40-49,692,8,12,18,30,30,12,18,7,3.0101950355,3626.7589602226,0.0582059488,0.0310344828,0.14379086,0,59,1.750320915424796E-4,3.5165547E-4,3.586108E-4,446,0.24622531,11,5,201,4,0.0199004975,-0.10243445
240760525,JoelWWood,10,12719,821,789,42,2243,55.3175322659,50-59,753,8,23,12,35,35,23,12,7,3.509751773,7570.1933210439,0.095229395,0.0235294118,0.056878306,0,59,5.294175929660214E-4,6.492101E-4,6.3446525E-4,66,0.15943877,38,0,200,0,0,-0.102560464
163462941,mbchambersofcom,10,5341,1949,928,69,3714,48.6983940466,40-49,693,6,5,6,11,11,5,6,8,4.1090425532,3078.1412087251,0.0085699012,0.0545454545,0.1,0,59,2.197135162052712E-4,1.6230253E-4,1.6551267E-4,212,0.20263158,23,0,200,0,0,-0.10263158
191832828,Waterlady01,10,126,26,96,0,3,23.2275874987,20-29,303,3,6,8,14,14,6,8,8,3.5159574468,51.6435740179,0.0884283118,0.1153846154,0.4861111,0,59,1.4406771323809166E-4,1.8935296E-4,1.9309812E-4,66,0.5888889,0,0,129,0,0,-0.1027778
133063614,AdvertiseCanada,10,9799,356,132,4,0,43.8987394782,40-49,612,7,3,3,6,6,3,3,8,3.914893617,94.6152603274,0.012568569,0.0333333333,0.033333335,0,59,7.982518670466345E-5,1.0820169E-4,1.1034178E-4,330,0.13636364,1,0,200,0,0,-0.103030305
135292251,RitchieTrev,10,2454,452,731,15,17,41.0860837465,40-49,640,6,30,33,63,63,30,33,7,3.1569148936,10807.3670811405,0.1200656518,0.0419866871,0.22905526,0,59,7.030717226988234E-4,8.385631E-4,8.551488E-4,330,0.33212122,13,0,200,0,0,-0.10306596
212350812,jecpond,10,261,17,171,0,2,24.2146281433,20-29,170,5,3,19,22,22,3,19,7,3.3843085106,35.4206724322,0.0136226308,0.2056277056,0.41520467,0,59,9.208454868366839E-5,1.0820169E-4,1.1034178E-4,330,0.51827955,2,1,200,1,0.005,-0.10307488
376439236,RamonaJennex,10,338,217,99,15,31,45.2704872725,40-49,589,4,32,24,56,56,32,24,8,3.8851950355,2077.6569818852,0.0949346473,0.1146103896,0.3785425,0,59,6.873099165907615E-4,8.926639E-4,9.1031974E-4,322,0.48182625,58,0,200,0,0,-0.10328375
28395319,JosephQuesnelJr,10,674,307,482,8,7,40.1078262268,40-49,665,5,26,10,36,36,26,10,7,3.2783687943,9438.7969422955,0.2138310415,0.0619047619,0.18376069,0,59,0.0010448517,7.303614E-4,7.4480707E-4,66,0.28741407,16,0,200,0,0,-0.10365338
484182357,CaitlynBaikie,10,492,135,222,1,6,26.115435179,20-29,529,4,2,6,8,8,2,6,8,3.9977836879,48.786610641,0.00355168,0.0892857143,0.21428572,0,59,9.976504093165808E-5,8.1151265E-5,8.2756334E-5,250,0.3181818,11,0,199,0,0,-0.10389608
267881942,JeanBPe,10,409,107,329,3,2,26.4217324907,20-29,509,4,1,2,3,3,1,2,9,5.2167553191,0,0.0079064235,0.1666666667,0.5,0,59,4.884069445277244E-4,5.4100845E-5,5.517089E-5,66,0.6041667,0,0,200,0,0,-0.1041667
17568019,pattibacchus,10,9577,2859,1208,153,37,57.0007194878,50-59,777,7,83,36,119,119,83,36,7,3.147606383,25029.6066679087,0.3139945175,0.0536960547,0.1470742,0,59,0.0021205923,0.0022722355,0.0023171774,330,0.2512718,99,0,200,0,0,-0.1041976
35265785,Jim_Mullin,10,4887,1219,1017,55,402,50.365401794,50-59,722,7,9,5,14,14,9,5,8,4.1883865248,763.9773247225,0.0237755161,0.0879120879,0.16363636,0,59,6.052488772549573E-4,2.705042E-4,2.7585446E-4,330,0.26811594,8,0,200,0,0,-0.10447958
1192013226,loo2404,10,101,9,21,0,0,12.3207895825,10-19,71,4,2,6,8,8,2,6,7,3.5017730496,7.0939939046,0.0071785041,0.1428571429,0.46666667,0,59,7.295986082449075E-5,8.1151265E-5,8.2756334E-5,320,0.5714286,1,0,143,0,0,-0.10476193
324871858,arc185,10,2284,435,2001,5,26,40.3996923869,40-49,621,6,18,38,56,56,18,38,7,3.1941489362,4329.9261775529,0.0498150291,0.0704545455,0.21923077,0,59,4.0964777199268507E-4,5.1395805E-4,5.241235E-4,250,0.3243774,4,2,200,2,0.01,-0.10514663
952619623,BaronOldsfield,10,308,14,48,0,9,21.8024823457,20-29,508,4,4,5,9,9,4,5,8,3.6245567376,200.6707659758,0.0276498349,0.1111111111,0.3809524,0,59,9.677523106780077E-5,1.352521E-4,1.3792723E-4,66,0.4861111,6,3,200,3,0.015,-0.1051587
489914230,BonyMaroniPony,10,7273,246,581,2,30,42.6459889318,40-49,696,8,33,62,95,95,33,62,6,2.8554964539,25629.907917689,0.1473804862,0.031131019,0.0995338,0,59,4.867542814077317E-4,9.1971434E-4,9.3790516E-4,330,0.20469873,54,0,227,0,0,-0.10516493
29649595,jewellerytears,10,9113,182,178,8,71,41.0422978739,40-49,658,7,5,5,10,10,5,5,8,3.9406028369,4234.0894891411,0.0208975968,0.0444444444,0.2,0,59,2.2744743904649814E-4,1.6230253E-4,1.6551267E-4,330,0.30555555,10,0,201,0,0,-0.10555555
282034400,jamesflogan,10,93,10,36,0,2,19.9219742554,10-19,142,3,4,7,11,11,4,7,8,3.8324468085,357.2616315402,0.0106486953,0.1272727273,0.375,0,59,1.3510128945209412E-4,1.352521E-4,1.3792723E-4,322,0.48076922,3,0,93,0,0,-0.10576922
46919079,Terrilltf,10,23391,1761,1999,56,1788,58.0165139168,50-59,755,9,56,60,116,116,56,60,6,2.797429078,27299.6019932877,0.2718052929,0.0266116942,0.14336918,0,59,0.0010377034,0.001541874,0.0015723704,446,0.24931335,39,0,201,0,0,-0.10594417
219003291,FAPareja,10,588,35,83,0,0,38.6389885851,30-39,577,5,2,6,8,8,2,6,8,4.087322695,2422.9225605419,0.0041398343,0.0714285714,0.11904762,0,59,9.532525695137692E-5,8.1151265E-5,8.2756334E-5,320,0.225,19,0,200,0,0,-0.10595238
388024089,felixhythlo,10,1013,107,99,0,77,40.3619505937,40-49,594,5,3,3,6,6,3,3,8,3.732712766,48.1346218586,0.0130861519,0.0333333333,0.16666667,0,59,9.596594574753833E-5,1.0820169E-4,1.1034178E-4,47,0.27272728,3,0,200,0,0,-0.10606061
29916000,TreeHugginLovin,10,28272,469,887,13,1177,41.8442253295,40-49,729,8,1,4,5,5,1,4,8,4.0031028369,27.7468956031,6.317521933477029E-4,0.05,0.083333336,0,59,7.23499312398193E-5,5.4100845E-5,5.517089E-5,446,0.1904762,2,0,200,0,0,-0.107142864
95577307,OrcaBC101,10,10421,2298,2409,72,348,54.9088130419,50-59,755,8,10,14,24,24,10,14,7,3.4463652482,1906.5990345871,0.0247734888,0.0144927536,0.04945055,0,59,3.011967302015804E-4,2.9755465E-4,3.034399E-4,330,0.15698925,7,0,200,0,0,-0.1075387
598805924,JenValley1,10,2162,199,314,1,3,22.6853834503,20-29,604,6,12,21,33,33,12,21,7,3.1604609929,2322.8388766334,0.0586217364,0.0634469697,0.21428572,0,59,2.716394234677308E-4,3.5165547E-4,3.586108E-4,330,0.3218816,0,0,200,0,0,-0.10759588
240054606,SherryDowson,10,1674,211,767,1,80,29.0489215104,20-29,592,6,30,63,93,93,30,63,6,2.7712765957,32385.2312874139,0.1256241981,0.0326086957,0.109318994,0,59,5.792898722461887E-4,8.385631E-4,8.551488E-4,320,0.21702072,13,0,200,0,0,-0.107701726
85146999,Albertagirl46,10,6920,1104,1477,33,11,45.2964810307,40-49,719,7,62,90,152,152,62,90,6,2.6578014184,56128.4670536246,0.4081431501,0.0182990589,0.07760636,0,59,9.456108174378846E-4,0.0017041765,0.0017378831,446,0.18532096,18,0,200,0,0,-0.1077146
