id,label,size,statuses_count,followers_count,friends_count,listed_count,favourites_count,klout_score,klout_score_bucket,kred_influence,kred_outreach,indegree,outdegree,degree,weighted degree,weighted indegree,weighted outdegree,eccentricity,closnesscentrality,betweenesscentrality,eigencentrality,newClusteringCoefficient,clustering,componentnumber,strongcompnum,pageranks,authority,hub,modularity_class,old_clustering,interaction_count,temp_term_score,num_tweets,term_score_distinct_tweets,final_term_score,cluster_diff
546424088,FredFord46,10,4629,157,484,0,6,40.3975460622,40-49,624,7,5,7,12,12,5,7,9,3.3494514425,3673.7122540586,0.033296716,0.0075757576,0.013888889,0,135,8.942555729368718E-5,1.5099278E-4,1.5491867E-4,257,0.3380682,6,0,200,0,0,-0.324179311
111715724,lawrencecanuck,10,8466,126,1081,0,4,25.2693703672,20-29,526,7,2,8,10,10,2,8,10,3.4311255587,811.8375868943,0.0210679364,0.0111111111,0.027777778,0,135,6.955298766005884E-5,7.549639E-5,7.7459335E-5,353,0.35227272,1,0,201,0,0,-0.324494942
21547158,ThePhotowagon,10,3618,269,253,12,292,47.0240082548,40-49,652,6,10,10,20,20,10,10,10,3.3892726534,7407.5074323425,0.0154772975,0.0105263158,0.025641026,0,135,1.3604539303221767E-4,2.768201E-4,2.5819778E-4,99,0.35064012,43,1,200,1,0.005,-0.324999094
266965724,katiesmith1963,10,1130,59,331,0,25,28.4822890935,20-29,569,5,5,13,18,18,5,13,10,3.2986590817,1320.409736573,0.0130502216,0.0130718954,0.032051284,0,135,9.82309882288948E-5,1.5099278E-4,1.5491867E-4,257,0.35739437,2,0,200,0,0,-0.325343086
43171180,qualitypunk,10,7460,447,686,13,3608,49.2051714251,40-49,671,6,6,7,13,13,6,7,11,3.7537586347,1239.2225999428,0.0313783027,0.0192307692,0.055555556,0,135,9.465411764937306E-5,1.7615824E-4,1.8073844E-4,505,0.3815331,7,0,200,0,0,-0.325977544
169236244,drstoopid,10,361,12,65,0,3,33.3091590163,30-39,510,4,2,2,4,4,2,2,9,3.7582283625,210.2562075334,0.0086030145,0,0,0,135,5.493152628345022E-5,7.549639E-5,7.7459335E-5,99,0.32692307,2,3,200,3,0.015,-0.32692307
16751415,jamesphieffer,10,4424,720,1962,29,14,40.7467971585,40-49,625,6,4,10,14,14,4,10,11,3.6326696465,257.0395561216,0.0426666461,0.0494505495,0.15555556,0,135,1.113717645208416E-4,1.2582731E-4,1.2909889E-4,353,0.48255813,2,1,199,1,0.0050251256,-0.32700257
511399796,hellis6,10,488,153,492,1,7,31.2870794745,30-39,521,5,1,4,5,5,1,4,10,3.6968711906,310.1718505085,0.0060798098,0,0,0,135,6.848566268734194E-5,5.0330927E-5,5.1639556E-5,99,0.3276923,3,0,200,0,0,-0.3276923
811236194,stratdemwatch,10,891,107,205,2,12,41.5447118389,40-49,562,5,12,13,25,25,12,13,9,3.2238927265,2350.662777154,0.0583331749,0.0183333333,0.12179487,0,135,1.358510712589843E-4,3.27151E-4,3.3565713E-4,99,0.4500675,42,0,200,0,0,-0.32827263
260827091,harmanfreelance,10,2533,318,992,9,5,43.2269788362,40-49,613,6,3,5,8,8,3,5,10,3.7013409183,243.354849256,0.0068737655,0.0535714286,0.0952381,0,135,9.063458085316095E-5,1.00661855E-4,1.0327911E-4,505,0.42411423,2,10,200,10,0.05,-0.32887613
103594620,uswjamie,10,607,119,170,2,25,24.688176552,20-29,493,4,3,5,8,8,3,5,10,3.7253149126,45.8948775973,0.0127811327,0.0357142857,0.2,0,135,8.581151004047627E-5,1.00661855E-4,1.0327911E-4,257,0.5294118,0,1,200,1,0.005,-0.3294118
26776939,mertonwa,10,320,64,133,0,3,31.2463578336,30-39,402,3,4,4,8,8,4,4,10,3.6424217798,61.7085494431,0.0132591271,0.1071428571,0.35,0,135,6.657012343162654E-5,1.2582731E-4,1.2909889E-4,257,0.67948717,6,0,200,0,0,-0.32948717
403804341,TaushaMichaud,10,120,72,403,1,0,16.5109541068,10-19,222,3,2,3,5,5,2,3,11,4.2291751321,5.9424977234,0.0038908658,0.05,0.16666667,0,135,6.182947233851763E-5,7.549639E-5,7.7459335E-5,353,0.49761903,0,0,120,0,0,-0.33095236
15608428,Paulbhaven,10,15294,518,954,14,328,42.4011318794,40-49,686,7,2,3,5,5,2,3,11,3.7533522958,103.3097783028,0.0067062632,0,0,0,135,6.452466160695358E-5,7.549639E-5,7.7459335E-5,99,0.3323077,15,1,200,1,0.005,-0.3323077
131175096,billmilliken,10,10420,1000,1383,34,411,50.4124748804,50-59,720,8,11,6,17,17,11,6,10,3.9366111337,6734.5003800775,0.0289815964,0.0110294118,0.01923077,0,135,2.743478963408278E-4,3.0198556E-4,3.0983734E-4,267,0.352459,27,1,203,1,0.0049261084,-0.33322823
436158344,SA_Ball,10,106,29,179,0,0,13.2918299397,10-19,254,3,1,2,3,3,1,2,13,6.0730816078,2462,2.6808524730492474E-4,0,0,0,139,1.0912479197109002E-4,5.0330927E-5,5.1639556E-5,353,0.33333334,0,0,115,0,0,-0.33333334
403372214,RiverdaleBoy,10,1349,45,59,0,31,41.4975465617,40-49,615,5,2,0,2,2,2,0,0,0,0,0.0037727647,0,0,0,102,5.064847961160404E-5,7.549639E-5,0,257,0.33333334,15,0,200,0,0,-0.33333334
199354634,MovingBoxesca,10,15234,810,642,23,174,55.7186678304,50-59,734,7,1,2,3,3,1,2,11,4.5286468915,1.619559587,0.0013592462,0,0,0,135,5.4864947830897145E-5,5.0330927E-5,5.1639556E-5,353,0.33333334,31,0,212,0,0,-0.33333334
73197511,Jess_TFA,10,6885,375,167,22,1,50.4276277638,50-59,696,6,5,0,5,5,5,0,0,0,0,0.0180362836,0,0,0,63,9.259801539157543E-5,1.5099278E-4,0,257,0.33333334,10,0,200,0,0,-0.33333334
33269047,Scruffy19,10,2462,104,148,0,20,38.3835014219,30-39,594,6,4,4,8,8,4,4,9,3.4465664364,327.0191010934,0.0179466801,0,0,0,135,7.280026634806564E-5,1.2582731E-4,1.2909889E-4,99,0.33333334,14,0,200,0,0,-0.33333334
392538004,sonjay_1,10,7211,50,106,1,824,21.9739002993,20-29,507,7,2,1,3,3,2,1,10,4.1109305161,37.7572861085,0.002958814,0,0,0,135,4.785463542257256E-5,7.549639E-5,7.7459335E-5,99,0.33333334,6,0,193,0,0,-0.33333334
126571380,AlexDolbec,10,8531,363,1997,5,177,45.6835498134,40-49,655,6,0,2,2,2,0,2,11,4.2282696994,0,0,0,0,0,498,4.790338355077782E-5,0,2.5819778E-5,106,0.33333334,3,0,202,0,0,-0.33333334
292123879,BennViel,10,1664,90,264,1,153,37.2976588313,30-39,600,5,1,1,2,2,1,1,11,4.2608695652,13.9456453725,0.0013482027,0,0,0,135,5.2236307912470375E-5,5.0330927E-5,5.1639556E-5,267,0.33333334,0,0,200,0,0,-0.33333334
109299182,jhodson79,10,5710,627,665,22,55,49.6258731547,40-49,677,7,4,5,9,9,4,5,11,3.8573750508,3484.611404945,0.0108640401,0,0,0,135,7.006067560199914E-5,1.2582731E-4,1.2909889E-4,99,0.33333334,10,0,201,0,0,-0.33333334
18491472,DWKeoughan,10,11839,500,1245,19,7,60.0582781201,60-69,738,8,2,2,4,4,2,2,11,4.3177570093,64.0706931192,0.0027243198,0,0,0,135,5.378369787780637E-5,7.549639E-5,7.7459335E-5,71,0.33333334,0,0,201,0,0,-0.33333334
185815993,coatesdavid,10,324,372,278,27,0,36.0436878212,30-39,540,2,1,1,2,2,1,1,11,4.3787078423,477.4542364513,0.0037124709,0,0,0,135,5.000827508008745E-5,5.0330927E-5,5.1639556E-5,303,0.33333334,0,0,200,0,0,-0.33333334
40536415,Lancecote,10,3786,82,231,0,54,41.1473287414,40-49,646,6,2,0,2,2,2,0,0,0,0,0.0066107913,0,0,0,98,5.009564877268508E-5,7.549639E-5,0,99,0.33333334,7,0,200,0,0,-0.33333334
