id,label,size,statuses_count,followers_count,friends_count,listed_count,favourites_count,klout_score,klout_score_bucket,kred_influence,kred_outreach,indegree,outdegree,degree,weighted degree,weighted indegree,weighted outdegree,eccentricity,closnesscentrality,betweenesscentrality,eigencentrality,newClusteringCoefficient,clustering,componentnumber,strongcompnum,pageranks,authority,hub,modularity_class,interaction_count,temp_term_score,num_tweets,term_score_distinct_tweets,final_term_score
399056003,Yela_Jessica,10,7119,234,169,0,516,43.3058461707,40-49,700,6,2,2,4,4,2,2,5,2.8125,0,1.7665344078022718E-4,0.0833333333,1,31,107,1.9189631190800186E-4,2.0324514E-5,2.0571053E-5,108,19,0,201,0,0
414481506,anakarenva2,10,5140,247,418,0,74,33.8760308962,30-39,694,6,2,2,4,4,2,2,1,1,0,1.6551228476954845E-4,0.0833333333,1,186,403,3.177448371356425E-4,2.0324514E-5,2.0571053E-5,193,37,0,200,0,0
418636676,daniedario,10,5585,336,973,2,2102,44.55916726,40-49,658,7,0,2,2,2,0,2,6,3.4285714286,0,0,0.5,1,42,469,4.766339181938244E-5,0,6.8570175E-6,197,1,0,201,0,0
423891063,melissajanedube,10,667,151,252,1,148,31.4264376452,30-39,527,4,1,2,3,3,1,2,7,3.0438088342,0,1.6202117079417596E-4,0.1666666667,1,0,59,7.208300543587784E-5,1.3549677E-5,1.3714035E-5,147,1,0,200,0,0
445052037,Silky_Goon_14,10,785,248,206,0,636,42.7523744966,40-49,641,5,2,2,4,4,2,2,3,1.8571428571,0,1.7090505595144666E-4,0.0833333333,1,18,88,1.822445046150632E-4,2.0324514E-5,2.0571053E-5,39,31,0,200,0,0
453969676,vittorio_rago,10,116,108,127,0,0,26.3207133292,20-29,368,3,1,2,3,3,1,2,6,3.0769230769,0,8.635150752408161E-5,0.1666666667,1,42,307,1.3440100104600392E-4,1.3549677E-5,1.3714035E-5,197,0,0,127,0,0
487315919,nano4nia,10,20884,558,403,1,210,45.9416719375,40-49,779,8,2,2,4,4,2,2,2,1.3333333333,0,1.6729007086290762E-4,0.0833333333,1,22,95,2.688948648460337E-4,2.0324514E-5,2.0571053E-5,126,11,0,201,0,0
498813813,Sufiyanzxc,10,6226,191,188,0,970,43.9066659906,40-49,711,7,2,2,4,4,2,2,1,1,0,1.6551228476954845E-4,0.0833333333,1,47,131,3.177448371356425E-4,2.0324514E-5,2.0571053E-5,44,51,0,200,0,0
516626578,qmoineville,10,311,33,35,0,50,33.3945048556,30-39,558,4,2,2,4,4,2,2,1,1,0,1.6551228476954845E-4,0.0833333333,1,110,248,3.177448371356425E-4,2.0324514E-5,2.0571053E-5,101,39,0,201,0,0
531546807,Quebecois100,10,1029,37,88,0,2,31.067455906,30-39,485,5,2,3,5,5,2,3,7,2.8631426503,0,0.0087015979,0.15,1,0,59,5.663946277297581E-5,2.0324514E-5,2.0571053E-5,145,13,0,200,0,0
552220775,andrearomo98,10,2664,138,305,0,21,40.495211387,40-49,627,5,2,2,4,4,2,2,4,2.4444444444,0,1.7088556491040878E-4,0.0833333333,1,79,175,2.938352311770198E-4,2.0324514E-5,2.0571053E-5,106,7,0,201,0,0
561560545,SYDNABEANZ,10,8922,816,851,2,13009,38.9556375935,30-39,746,7,2,1,3,3,2,1,3,2.1428571429,0,1.7090505595144666E-4,0.1666666667,1,18,88,1.822445046150632E-4,2.0324514E-5,2.0571053E-5,39,3,0,201,0,0
573835135,NailaRamirez17,10,572,257,426,0,3,32.9024465595,30-39,577,5,2,1,3,3,2,1,2,1.5,0,1.6371514892060646E-4,0.1666666667,1,221,546,3.177448371356425E-4,2.0324514E-5,2.0571053E-5,225,64,0,199,0,0
628891858,JimFare,10,790,51,64,2,3,37.8503701148,30-39,599,5,1,2,3,3,1,2,7,3.1864590876,0,0.0011387626,0.1666666667,1,0,59,5.043254489926508E-5,1.3549677E-5,1.3714035E-5,25,5,0,199,0,0
631886984,zioJaR,10,454,70,453,0,0,26.9313867212,20-29,434,4,0,2,2,2,0,2,6,3.4285714286,0,0,0.5,1,42,459,4.766339181938244E-5,0,6.8570175E-6,197,3,0,200,0,0
635921796,gaganiesingh,10,2587,59,364,0,691,31.0788890177,30-39,495,6,0,3,3,3,0,3,7,3.4411871155,0,0,0.5,1,0,623,4.766339181938244E-5,0,6.8570175E-6,25,0,0,200,0,0
706318964,Sya_Bennington,10,11229,130,119,0,1699,36.404879439,30-39,742,7,2,2,4,4,2,2,1,1,0,1.6551228476954845E-4,0.0833333333,1,47,131,3.177448371356425E-4,2.0324514E-5,2.0571053E-5,44,95,0,201,0,0
713308196,reesespeaksblog,10,111,4,14,0,0,20.1395213733,20-29,167,2,1,2,3,3,1,2,7,3.3942795076,0,8.925105282957938E-5,0.1666666667,1,0,59,6.118141870493022E-5,1.3549677E-5,1.3714035E-5,77,2,0,163,0,0
771844718,rachellynnbk,10,231,7,43,0,8,13.9267607181,10-19,177,4,0,2,2,2,0,2,7,3.2920738328,0,0,0.5,1,0,510,4.766339181938244E-5,0,6.8570175E-6,182,0,0,200,0,0
837000614,xryanhurdx,10,180,210,88,3,30,42.5664146521,40-49,553,3,2,2,4,4,2,2,1,1,0,1.6551228476954845E-4,0.0833333333,1,20,91,3.177448371356425E-4,2.0324514E-5,2.0571053E-5,18,12,0,199,0,0
858955286,CHINTvCanada,10,10459,445,170,1,1668,49.5678773274,40-49,704,8,1,2,3,3,1,2,7,3.4634322954,0,8.843422131905323E-5,0.1666666667,1,0,59,8.675827051917196E-5,1.3549677E-5,1.3714035E-5,175,74,0,201,0,0
878546018,wjgreen_,10,4121,1180,1612,16,173,53.5059893386,50-59,703,7,1,3,4,4,1,3,8,3.2758870384,0,5.726297154501598E-4,0.25,1,0,59,5.1953197916787175E-5,1.3549677E-5,1.3714035E-5,175,1,1,201,1,0.0049751244
955072836,popoanaklatip,10,14566,205,432,0,3000,47.3326210396,40-49,724,8,2,2,4,4,2,2,1,1,0,1.6551228476954845E-4,0.0833333333,1,47,131,3.177448371356425E-4,2.0324514E-5,2.0571053E-5,44,64,0,203,0,0
998331242,abuaysha007,10,13,9,52,0,2,13.2677859755,10-19,59,1,0,2,2,2,0,2,7,3.3966702859,0,0,0.5,1,0,200,4.766339181938244E-5,0,6.8570175E-6,25,1,0,13,0,0
1055278064,MondeMonden,10,277,9,111,0,2,24.5219654838,20-29,556,4,0,2,2,2,0,2,10,5.8820123055,0,0,0.5,1,0,400,4.766339181938244E-5,0,6.8570175E-6,131,2,0,200,0,0
