id,label,size,statuses_count,followers_count,friends_count,listed_count,favourites_count,klout_score,klout_score_bucket,kred_influence,kred_outreach,indegree,outdegree,degree,weighted degree,weighted indegree,weighted outdegree,eccentricity,closnesscentrality,betweenesscentrality,eigencentrality,newClusteringCoefficient,clustering,componentnumber,strongcompnum,pageranks,authority,hub,modularity_class,interaction_count,knowledge_count
400144770,thedrachms,10.0,31.0,6.0,13.0,1.0,0.0,14.105951047749983,10-19,17.0,0.0,1,2,3,3.0,1.0,2.0,1.0,1.0,0.0,7.698417895143807E-5,0.16666666666666666,0.5,0,1,7.917821274201192E-5,1.198308E-5,1.2138721E-5,202,0,0
127551326,packermanno,10.0,13.0,5.0,109.0,0.0,0.0,16.202198876735622,10-19,25.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,4.4780486537007367E-5,0.0,0.0,0,0,0
856928725,CpcBallycastle,10.0,49.0,187.0,13.0,0.0,0.0,41.33313003179137,40-49,518.0,2.0,11,0,11,11.0,11.0,0.0,0.0,0.0,0.0,8.732982242081867E-4,0.24545454545454545,0.36363637,2,3,3.861754640442089E-4,7.189848E-5,0.0,332,45,0
887461274,ArthurPPrice,10.0,19.0,2.0,18.0,0.0,0.0,16.063285783848457,10-19,2.0,1.0,0,1,1,1.0,0.0,1.0,8.0,3.288164088769334,0.0,0.0,0.0,0.0,0,68,4.4780486537007367E-5,0.0,6.0693606E-6,230,0,0
316842662,Sallie_Lama,10.0,4.0,133.0,381.0,1.0,88.0,41.104604203225556,40-49,605.0,5.0,12,38,50,50.0,12.0,38.0,8.0,2.561722166162126,26.32624430659492,0.022710951632422927,0.18857142857142858,0.4679487,0,67,8.177800637242601E-5,7.789002E-5,7.8901685E-5,220,4,0
1272977286,BoonevilleCPC,10.0,3.0,2.0,12.0,0.0,0.0,11.063285783848436,10-19,6.0,1.0,1,1,2,2.0,1.0,1.0,1.0,1.0,0.0,7.494718241951822E-5,0.0,0.0,3,69,2.9852402567743944E-4,1.198308E-5,1.2138721E-5,86,0,0
1268250757,JillianLCurtin,10.0,1.0,4.0,13.0,0.0,0.0,14.151882817248719,10-19,25.0,1.0,3,5,8,8.0,3.0,5.0,8.0,2.885973763874874,3354.8367320737193,0.0012685435910456634,0.08928571428571429,0.35,0,67,7.506839962053695E-5,2.396616E-5,2.4277442E-5,141,0,0
1250238986,CanadianPoliKid,10.0,33.0,8.0,196.0,0.0,0.0,14.720768866651824,10-19,31.0,2.0,0,58,58,58.0,0.0,58.0,8.0,2.6365164761264293,0.0,0.0,0.21082879612825167,0.32395643,0,70,4.4780486537007367E-5,0.0,6.0693606E-6,202,1,0
937513957,adamdasilva3,10.0,4.0,0.0,2.0,0.0,0.0,10.0,10-19,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,71,4.4780486537007367E-5,0.0,0.0,1,1,0
1249794612,NDPInduNPD,10.0,6.0,12.0,5.0,0.0,0.0,22.71963144989558,20-29,86.0,1.0,5,4,9,9.0,5.0,4.0,8.0,3.1318533467877563,0.5995233295503756,0.009649893520801534,0.125,0.56666666,0,67,1.0747430690300085E-4,3.594924E-5,3.6416164E-5,202,1,1
818131350,ROVCCalgary,10.0,48.0,16.0,11.0,0.0,0.0,19.44574680817525,10-19,168.0,1.0,1,1,2,2.0,1.0,1.0,9.0,4.6205042016806726,0.0,7.494718241951822E-5,0.0,0.0,0,72,7.569917912644684E-5,1.198308E-5,1.2138721E-5,141,7,0
