Twitter ID,Interaction count
22331578,0
492059038,0
127551326,0
59767832,0
255817854,0
1269887706,0
362903520,0
307963985,0
937513957,0
517159398,0
1268250757,0
1200867362,0
1267034376,0
1274297383,0
1072032300,0
1204850634,0
30483902,0
493595072,0
1242788588,0
274353837,0
29024261,0
1263738432,0
140559917,0
1069600106,0
1268953286,0
608237534,0
993993534,0
273283728,0
593051958,0
1283039702,0
1298696424,0
1298749087,0
1238329170,0
615325412,0
57057185,0
1310794578,0
166402475,0
24261516,0
842408154,0
219492211,0
361195351,0
278940186,0
322089533,0
472286193,0
19103646,0
113953933,0
467013270,0
422773751,0
1072009236,0
1243862612,0
12034642,0
16116073,0
100689906,0
159282071,0
383397053,0
269963819,0
27161840,0
455831687,0
433867215,0
1264595090,0
16324671,0
469733877,0
35303265,0
296350580,0
462908677,0
33082809,0
837000614,0
21622781,0
215367878,0
131647033,0
237404095,0
32521071,0
1083627469,0
1203545232,0
261999441,0
158502985,0
1012702262,0
71390388,0
18117300,0
117453967,0
299816095,0
1090069562,0
487315919,0
959017472,0
279679549,0
16434993,0
1199927678,0
258151604,0
325941616,0
28127520,0
47675200,0
996132241,0
19557595,0
216787361,0
390459554,0
46286710,0
85612633,0
363997684,0
14900584,0
462214859,0
582373690,0
240348122,0
821734045,0
341876717,0
74275413,0
172166938,0
566579915,0
704976138,0
468777003,0
18681012,0
16231046,0
16135612,0
273791831,0
18773366,0
239993455,0
78641250,0
563357348,0
378298356,0
26344705,0
31623014,0
274012183,0
222874113,0
374643582,0
121853848,0
16437983,0
1118819690,0
18757095,0
275699060,0
216609343,0
7075582,0
770671867,0
16161679,0
953784768,0
598805924,0
289770017,0
7491592,0
499819985,0
14390356,0
1045802130,0
282894960,0
16747563,0
281590472,0
216513475,0
220607738,0
737364186,0
15142813,0
489914230,0
626639419,0
1226952782,0
274300708,0
328838034,0
100033160,0
168751913,0
497410944,0
6563122,0
351834645,0
270889394,0
45169003,0
86392086,0
805084,0
75016616,0
338114847,0
11582802,0
221579366,0
17161553,0
216475552,0
279479906,0
360074361,0
