matchup,ktau,spearman
indegree/klout_score,0.5202,0.3617
indegree/kred_influence,0.4582,0.3196
authority/indegree,0.7664,0.5821
closnesscentrality/indegree,1.0000,0.9491
betweenesscentrality/indegree,0.5202,0.3617
indegree/statuses_count,0.4582,0.3196
followers_count/indegree,-0.0663,-0.0991
eigencentrality/indegree,-0.0588,-0.0382
clustering/indegree,-0.1197,-0.0840
final_term_score/indegree,-0.0663,-0.0991
indegree/interaction_count,0.8648,0.6736
klout_score/kred_influence,0.4899,0.3378
authority/klout_score,0.4120,0.2863
closnesscentrality/klout_score,0.8648,0.6736
betweenesscentrality/klout_score,0.0265,-0.0487
klout_score/statuses_count,0.3521,0.2422
followers_count/klout_score,0.6196,0.4450
eigencentrality/klout_score,0.8610,0.6914
clustering/klout_score,0.3521,0.2422
final_term_score/klout_score,-0.1065,-0.0759
interaction_count/klout_score,0.3265,0.2247
authority/kred_influence,0.5001,0.3508
closnesscentrality/kred_influence,0.7571,0.5676
betweenesscentrality/kred_influence,0.8102,0.6206
kred_influence/statuses_count,0.5001,0.3508
followers_count/kred_influence,-0.1370,-0.0950
eigencentrality/kred_influence,0.4881,0.3443
clustering/kred_influence,0.7197,0.5328
final_term_score/kred_influence,0.9652,0.8249
interaction_count/kred_influence,0.4480,0.3073
authority/closnesscentrality,0.3767,0.2622
authority/betweenesscentrality,0.9652,0.8249
authority/statuses_count,-0.0436,-0.1168
authority/followers_count,0.8306,0.6351
authority/eigencentrality,0.3104,0.2145
authority/clustering,0.4201,0.2927
authority/final_term_score,0.1689,0.0675
authority/interaction_count,-0.1259,-0.0938
betweenesscentrality/closnesscentrality,-0.1386,-0.1041
closnesscentrality/statuses_count,0.1689,0.0675
closnesscentrality/followers_count,0.2653,0.1940
closnesscentrality/eigencentrality,0.0545,-0.0247
closnesscentrality/clustering,-0.1277,-0.0930
closnesscentrality/final_term_score,-0.1584,-0.1195
closnesscentrality/interaction_count,0.2084,0.1024
betweenesscentrality/statuses_count,0.3506,0.1797
betweenesscentrality/followers_count,0.0166,0.0081
betweenesscentrality/eigencentrality,-0.0536,-0.0284
betweenesscentrality/clustering,0.3506,0.1797
betweenesscentrality/final_term_score,0.0019,0.0014
betweenesscentrality/interaction_count,0.2870,0.1451
followers_count/statuses_count,-0.0641,-0.0341
eigencentrality/statuses_count,-0.0223,-0.0117
clustering/statuses_count,0.3788,0.1942
final_term_score/statuses_count,0.1668,0.0866
interaction_count/statuses_count,0.5910,0.4149
eigencentrality/followers_count,0.5881,0.4187
clustering/followers_count,0.5611,0.3943
final_term_score/followers_count,0.5910,0.4149
followers_count/interaction_count,-0.1314,-0.0920
clustering/eigencentrality,0.5052,0.3508
eigencentrality/final_term_score,0.3505,0.2401
eigencentrality/interaction_count,0.4405,0.3070
clustering/final_term_score,0.4962,0.3433
clustering/interaction_count,0.0004,-0.0097
final_term_score/interaction_count,0.1420,0.0725
