Id,Label,Statuses Count,Followers Count,Friends Count,Listed Count,Favourites Count,Klout Score,Klout Score Bucket,Kred Influence,Kred Outreach,Eccentricity,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Local Clustering Coefficient,Clustering Coefficient,Component ID,Strongly-Connected ID,PageRank,Modularity Class,Authority,Hub,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,In-Degree,Out-Degree,Degree,Erdös Number
180572286,Megs102496,1004.0,42.0,178.0,0.0,23.0,25.709485343527632,20-29,486.0,4.0,8.0,4.771719858156028,6786.554799595375,4.3105172639015967E-4,0.0,0.0,0,110,8.747171713835997E-5,443,5.4100845E-5,5.517089E-5,3.0,1.0,2.0,1,2,3,4
38548714,wildfiremike,26664.0,1597.0,1997.0,58.0,1061.0,49.98897143819788,40-49,757.0,9.0,7.0,3.9299645390070923,2721.859509204053,0.025962760426365243,0.038011695906432746,0.052287582,0,110,2.2988780413094615E-4,75,2.434538E-4,2.48269E-4,19.0,8.0,11.0,8,11,19,2
42691701,lucyfukushima,493.0,37.0,243.0,0.0,2.0,22.354754688794046,20-29,195.0,4.0,8.0,4.204787234042553,9.312670068027213,0.0011236124022042282,0.16666666666666666,0.5,0,110,5.811716942399721E-5,443,5.4100845E-5,5.517089E-5,4.0,1.0,3.0,1,3,4,4
242394505,ChrisQuines,9295.0,350.0,680.0,13.0,1478.0,54.01249042980583,50-59,744.0,7.0,7.0,3.2056737588652484,2810.4638708090224,0.30908715550614085,0.06612021857923497,0.24871795,0,110,1.8064560633830961E-4,63,7.574118E-4,7.723925E-4,61.0,27.0,34.0,27,34,61,3
1276931240,everythingyeg,262.0,21.0,174.0,0.0,2.0,43.24730537786314,40-49,501.0,7.0,7.0,3.4703014184397163,1163.3295047635454,0.019746355312653483,0.07142857142857142,0.23333333,0,110,5.350949863312667E-5,63,8.1151265E-5,8.2756334E-5,8.0,2.0,6.0,2,6,8,4
391997276,Itson_anon,3107.0,374.0,1107.0,8.0,14.0,45.74879413544326,40-49,665.0,6.0,7.0,2.8914007092198584,13338.246632067146,0.13998701282314435,0.030690537084398978,0.10724638,0,110,1.7172470605030356E-4,443,6.492101E-4,6.620507E-4,69.0,23.0,46.0,23,46,69,3
62139614,JDarwin,2305.0,102.0,465.0,2.0,649.0,34.128265048140605,30-39,536.0,6.0,7.0,3.1968085106382977,260.3136103905262,0.053364923573346996,0.06666666666666667,0.20454545,0,110,8.789172058885515E-5,443,2.1640338E-4,2.2068356E-4,16.0,7.0,9.0,7,9,16,3
900667856,OkanaganD_anon,3610.0,736.0,1533.0,6.0,619.0,42.98483507237218,40-49,682.0,7.0,7.0,2.9773936170212765,3282.9660443305634,0.1251657037635908,0.040413533834586464,0.17914438,0,110,1.3595593365477987E-4,443,6.7626056E-4,6.8963616E-4,57.0,24.0,33.0,24,33,57,3
607054668,HenryMcRandall1,1314.0,689.0,1992.0,14.0,1.0,40.80655121583465,40-49,626.0,5.0,7.0,3.421542553191489,1149.117103752872,0.014273030363092742,0.011695906432748537,0.053030305,0,110,9.663633325924792E-5,443,2.434538E-4,2.48269E-4,19.0,8.0,11.0,8,11,19,3
454472178,AgLocal30048,1212.0,89.0,171.0,0.0,23.0,40.438588683236254,40-49,575.0,5.0,7.0,3.3058510638297873,1916.9732673074009,0.05728230977016769,0.07142857142857142,0.21428572,0,110,1.3481422818380616E-4,29,5.1395805E-4,5.241235E-4,29.0,18.0,11.0,18,11,29,3
