id,label,size,statuses_count,followers_count,friends_count,listed_count,favourites_count,klout_score,klout_score_bucket,kred_influence,kred_outreach,indegree,outdegree,degree,weighted degree,weighted indegree,weighted outdegree,eccentricity,closnesscentrality,betweenesscentrality,eigencentrality,newClusteringCoefficient,clustering,componentnumber,strongcompnum,pageranks,authority,hub,modularity_class,interaction_count,temp_term_score,num_tweets,term_score_distinct_tweets,final_term_score
69890762,julakaba,10,15895,334,337,1,2,41.939445034,40-49,662,6,0,0,0,0,0,0,0,0,0,0,0,0,204,521,4.766339181938244E-5,0,0,208,2,0,202,0,0
69931952,filippoghidelli,10,4738,91,337,0,1341,19.7271203305,10-19,505,7,0,1,1,1,0,1,7,4.3571428571,0,0,0,0,42,525,4.766339181938244E-5,0,6.8570175E-6,197,1,0,200,0,0
70445552,BigShoey,10,5935,358,126,13,76,32.0401202995,30-39,715,7,17,16,33,33,17,16,7,2.8124547429,79.4949686014,0.0144263951,0.1553030303,0.41230768,0,59,1.14168454581681E-4,1.2194709E-4,1.2342632E-4,175,0,1,200,1,0.005
70553160,gordbailey,10,21534,316,547,21,6,45.747432081,40-49,678,8,2,7,9,9,2,7,7,3.2223026792,6.3846917864,0.0014627123,0.1805555556,0.2857143,0,59,5.4084934222729225E-5,2.0324514E-5,2.0571053E-5,175,2,0,201,0,0
70693316,terrylo_calgary,10,20484,644,592,19,1143,63.8279857241,60-69,738,8,3,4,7,7,3,4,7,3.2729905865,1.3495978848,0.0011999471,0.0476190476,0.33333334,0,59,6.398554009974338E-5,2.7099353E-5,2.742807E-5,175,8,0,201,0,0
71358586,MartinGratton,10,191,13,85,0,2,23.3466910443,20-29,388,5,0,21,21,21,0,21,7,2.7745204488,0,0,0.3357142857,0.5095238,0,551,4.766339181938244E-5,0,6.8570175E-6,175,5,0,201,0,0
71390388,AlbertaAltruist,10,17346,1017,140,41,0,58.2887737382,50-59,774,8,61,20,81,81,61,20,7,2.698044895,256.3120460336,0.043706872,0.1416666667,0.29688832,0,59,2.8939693906534505E-4,4.2003999E-4,4.2513508E-4,175,150,3,203,3,0.0147783251
71611873,sez_i,10,2653,131,235,6,201,41.2013728651,40-49,533,6,19,34,53,53,19,34,6,2.5296886314,152.7518854809,0.0279588336,0.1404208999,0.3785425,0,59,1.0082603365193977E-4,1.3549677E-4,1.3714035E-4,77,8,3,200,3,0.015
72736745,pt_ndp,10,55,41,1,3,0,22.0250688037,20-29,241,2,6,0,6,6,6,0,0,0,0,0.0156682351,0.4,0.6,0,49,7.616978704625355E-5,4.742387E-5,0,25,2,0,57,0,0
72737393,VIVOMediaArts,10,1665,1759,282,121,20,48.2079766651,40-49,686,6,6,1,7,7,6,1,7,3.2914554671,0,0.0045562017,0.3095238095,0.54761904,0,59,8.185366442777322E-5,4.742387E-5,4.799912E-5,182,35,0,200,0,0
72884615,timhowl,10,537,181,92,2,1,28.6453769096,20-29,547,4,56,28,84,84,56,28,7,2.6484431571,62.2372910479,0.1280797104,0.2015203672,0.5360577,0,59,3.586490304184517E-4,3.8616578E-4,3.9085E-4,25,13,20,200,19,0.095
72911723,ArtistforOcean,10,7189,1114,868,87,12,50.1516360581,50-59,726,5,2,12,14,14,2,12,7,3.0441708907,2962.7241745972,3.3427210315339814E-4,0.0549450549,0.083333336,0,59,5.864287845423757E-5,2.0324514E-5,2.0571053E-5,175,1,0,200,0,0
73333278,MsRock4Ever,10,77020,7281,7928,186,22093,56.2340038973,50-59,869,10,25,35,60,60,25,35,6,2.7089065894,4955.1092536343,0.0136882412,0.0367231638,0.1614114,0,59,1.5218091962015392E-4,1.761458E-4,1.7828245E-4,77,21,0,201,0,0
73583637,AndreaCSt,10,474,476,1641,21,6,34.0023764286,30-39,542,4,2,6,8,8,2,6,7,3.1350470673,2.7798470108,0.0027468382,0.1607142857,0.33333334,0,59,6.974292029098908E-5,2.0324514E-5,2.0571053E-5,175,4,0,200,0,0
73592681,themaxstern,10,5145,464,693,7,391,62.6969469373,60-69,689,6,36,67,103,103,36,67,6,2.4087617668,446.3836909187,0.0511665826,0.1698077289,0.3746694,0,59,2.019993761598332E-4,2.5066902E-4,2.5370964E-4,175,23,0,200,0,0
