id,label,size,statuses_count,followers_count,friends_count,listed_count,favourites_count,klout_score,klout_score_bucket,kred_influence,kred_outreach,indegree,outdegree,degree,weighted degree,weighted indegree,weighted outdegree,eccentricity,closnesscentrality,betweenesscentrality,eigencentrality,newClusteringCoefficient,clustering,componentnumber,strongcompnum,pageranks,authority,hub,modularity_class,interaction_count,temp_term_score,num_tweets,term_score_distinct_tweets,final_term_score
270928670,NSchwen,10,544,112,195,2,2,30.2259592614,30-39,449,4,9,34,43,43,9,34,7,2.7572815534,89.5339208668,0.0148334338,0.1954595792,0.36984354,0,66,1.0243344456667103E-4,5.99154E-5,6.069361E-5,372,13,2,199,2,0.0100502513
271006415,ingriddecorator,10,5276,74,537,0,14,22.037057394,20-29,497,7,22,106,128,128,22,106,7,2.3739537998,320.9242624213,0.0316134184,0.1583415354,0.2978034,0,66,9.965834957443618E-5,1.3780541E-4,1.395953E-4,47,2,1,200,1,0.005
271073165,KirstyDuncanMP,10,2976,2411,216,132,1,54.4475346835,50-59,745,6,298,27,325,325,298,27,7,2.7435554068,16637.0747022191,0.3057889134,0.0958879392,0.14893036,0,66,0.0014214416,0.0017914705,0.0017722533,140,166,4,200,4,0.02
271074952,penottawa,10,8739,1482,1803,41,1043,53.6410344529,50-59,741,7,138,96,234,234,138,96,6,2.3324405758,4266.2517530277,0.2347955609,0.095264297,0.2688839,0,66,9.070830210975451E-4,8.3282404E-4,8.436411E-4,140,45,0,200,0,0
271117979,arun_smith,10,11332,603,983,13,19,56.6629788164,50-59,738,8,65,114,179,179,65,114,6,2.3555406763,5418.0095718356,0.0857419796,0.1011863662,0.2561441,0,66,3.0339040187032175E-4,3.9544163E-4,4.0057782E-4,390,129,0,201,0,0
271183691,unionjason,10,1030,158,254,1,2,43.3242953307,40-49,594,5,19,34,53,53,19,34,7,2.7318379645,495.1591011597,0.0210495152,0.1288098694,0.36486486,0,66,1.1133622797650969E-4,1.198308E-4,1.2138722E-4,390,31,0,200,0,0
271229421,shelleyshell4,10,3414,79,294,1,23,41.6677233727,40-49,565,5,8,17,25,25,8,17,7,2.7258118514,81.7331317041,0.0139532272,0.14,0.33918127,0,66,7.940825973788773E-5,5.392386E-5,5.4624245E-5,47,11,2,201,2,0.0099502488
271266410,kns223,10,710,192,194,0,233,36.5823195299,30-39,546,3,1,1,2,2,1,1,2,1.5,0,7.645535613750089E-5,0,0,316,574,2.29874507414389E-4,1.198308E-5,1.2138721E-5,328,1,0,200,0,0
271284946,KSeesequasis,10,1596,658,889,16,18,44.4503651374,40-49,647,6,79,103,182,182,79,103,7,2.379979913,6117.0205050785,0.0861977244,0.0693036246,0.2759009,0,66,3.312836988454005E-4,4.793232E-4,4.8554887E-4,140,24,1,199,1,0.0050251256
271475860,RJMcClelland,10,11211,684,485,26,0,58.5731022216,50-59,774,7,173,144,317,317,173,144,6,2.2912621359,7859.9257932973,0.2112085748,0.0817593739,0.21187288,0,66,5.556526231900087E-4,0.001042528,0.0010439301,47,219,1,202,1,0.004950495
271516426,Alcala1818,10,253,160,198,0,3,35.5183374615,30-39,567,4,1,1,2,2,1,1,1,1,0,7.49471721243357E-5,0,0,116,232,2.9852402567743944E-4,1.198308E-5,1.2138721E-5,113,48,0,200,0,0
271646800,simonkinglaw,10,15354,526,1014,8,1525,45.1710837155,40-49,743,8,40,53,93,93,40,53,6,2.4968195514,1413.1598672589,0.0592589443,0.1284478728,0.2884117,0,66,1.9154816489135352E-4,2.4565315E-4,2.4884377E-4,140,12,0,203,0,0
271649526,politicalicia,10,1178,292,498,6,1,32.144071653,30-39,552,5,40,67,107,107,40,67,7,2.463675929,1191.5192420802,0.0481575935,0.1027155704,0.29105264,0,66,1.8170754195166313E-4,2.4565315E-4,2.4884377E-4,390,1,2,200,2,0.01
271670918,vwriding,10,88,99,56,10,7,28.0121794975,20-29,545,3,8,8,16,16,8,8,7,3.0220957482,157.9413414761,0.0038330047,0.0958333333,0.34545454,0,66,7.590686262950654E-5,5.392386E-5,5.4624245E-5,372,1,2,88,2,0.0227272727
271681559,brianwhiteNDP,10,545,455,441,25,2,60.4043096485,60-69,600,4,51,53,104,104,51,53,7,2.5758285906,4415.7696523292,0.0721826935,0.127987304,0.39440992,0,66,3.076236972036608E-4,3.1156008E-4,3.1560674E-4,390,3,4,200,4,0.02
271762869,happytovote,10,4462,402,960,9,34,40.0403812244,40-49,650,7,22,76,98,98,22,76,6,2.5400066957,2649.5235340892,0.0139821786,0.112244898,0.26736844,0,66,1.2712918826035047E-4,1.3780541E-4,1.395953E-4,372,4,1,199,1,0.0050251256
271965841,WildRoseMike4MP,10,1288,167,318,17,5,29.076187504,20-29,573,6,13,28,41,41,13,28,6,2.603950452,332.769695543,0.0232668014,0.0890243902,0.2777778,0,66,1.308743021583068E-4,8.388156E-5,8.497105E-5,47,0,1,199,1,0.0050251256
271972887,ChloeMilan101,10,6031,113,133,1,1564,53.7910422903,50-59,657,6,0,0,0,0,0,0,0,0,0,0,0,0,300,555,4.4780486537007367E-5,0,0,299,2,0,200,0,0
272059064,marilynrbush,10,663,41,140,0,710,44.2866416591,40-49,581,6,2,2,4,4,2,2,8,4.0492132574,1,1.8579378519042617E-4,0,0,0,66,9.645704293253715E-5,1.797462E-5,1.8208082E-5,47,0,0,200,0,0
272124058,MyCatIsFat,10,42,6,55,0,0,16.5674566246,10-19,206,2,1,17,18,18,1,17,7,2.7653163709,0.0181683813,0.0010983649,0.3267973856,0.5882353,0,66,4.63462263885734E-5,1.198308E-5,1.2138721E-5,390,0,0,43,0,0
272141036,dbmeaford,10,2090,60,109,1,2,38.9195069725,30-39,655,5,20,19,39,39,20,19,7,2.7683294275,42.3601924956,0.0337376841,0.1997300945,0.33613446,0,66,1.0460889358171571E-4,1.2582233E-4,1.2745657E-4,140,15,1,200,1,0.005
272177720,peterjwray,10,168,21,66,1,0,22.2794009995,20-29,374,3,0,4,4,4,0,4,7,3.1552878179,0,0,0.3333333333,0.41666666,0,553,4.4780486537007367E-5,0,6.0693606E-6,140,3,0,173,0,0
272185225,fsorbara,10,4682,297,530,3,15,43.0717423642,40-49,665,7,68,83,151,151,68,83,7,2.4489454302,1291.7116483663,0.1029621469,0.12401766,0.35474005,0,66,2.84948011644293E-4,4.1341624E-4,4.1878587E-4,140,24,1,200,1,0.005
272214370,ClaysonBra,10,1101,452,696,0,68,30.1834551259,30-39,509,5,0,0,0,0,0,0,0,0,0,0,0,0,183,346,4.4780486537007367E-5,0,0,178,6,0,200,0,0
272237849,TippiStar,10,5906,265,235,3,177,46.1708568404,40-49,657,6,11,15,26,26,11,15,7,2.7686642116,41.0116024185,0.0117478568,0.1,0.4125,0,66,7.755711102242106E-5,7.189848E-5,7.283233E-5,47,45,0,201,0,0
272247146,niipomakii,10,14552,844,647,40,136,52.1807045621,50-59,779,8,51,48,99,99,51,48,7,2.6370940743,748.8545081892,0.0375083998,0.0888476603,0.3027972,0,66,2.479755056498993E-4,3.1156008E-4,3.1560674E-4,47,27,0,200,0,0
272290840,scott_robb,10,25964,241,321,5,4,40.545306923,40-49,763,9,10,7,17,17,10,7,7,2.9986608637,15.9772807064,0.0107597247,0.1764705882,0.25,0,66,7.24215476242334E-5,6.590694E-5,6.6762965E-5,47,4,0,203,0,0
272398543,davidhyde2,10,3643,477,455,13,2,49.2544215627,40-49,684,6,1,4,5,5,1,4,7,3.260462002,0.7885098024,7.882766165610551E-4,0.05,0.1,0,66,4.7042335631851746E-5,1.198308E-5,1.2138721E-5,390,4,0,200,0,0
272498805,williamefwilson,10,6493,1194,198,31,3,48.3668106557,40-49,713,7,98,13,111,111,98,13,7,2.838299297,172.8245471202,0.1036725253,0.1219492219,0.183301,0,66,3.254772693094396E-4,5.9316243E-4,5.9479737E-4,140,11,0,207,0,0
272517144,NikSpohr,10,1366,395,419,26,1,42.8924676799,40-49,649,5,49,50,99,99,49,50,7,2.5584198192,550.2305137829,0.056685173,0.1960420532,0.40462962,0,66,1.937905850315161E-4,2.99577E-4,3.0346803E-4,390,23,0,200,0,0
272523322,BillMcKinnon875,10,15373,1057,1993,66,28,38.7682347572,30-39,742,8,160,306,466,466,160,306,6,2.1188483428,19249.7489403663,0.2264146297,0.0719322534,0.192903,0,66,5.155792074262889E-4,9.646379E-4,9.77167E-4,140,21,0,201,0,0
272525580,wtfrwe,10,389,22,81,0,6,22.1691318508,20-29,152,3,5,21,26,26,5,21,7,2.7110813525,52.7515125209,0.0018957268,0.1476923077,0.33809525,0,66,6.492059567267232E-5,3.594924E-5,3.6416164E-5,47,6,0,199,0,0
272573393,BevJD24,10,2146,61,60,4,7,19.4858508114,10-19,518,6,7,9,16,16,7,9,7,2.8881821225,5.6225952067,0.0085816965,0.1958333333,0.46153846,0,66,6.399183557329512E-5,4.793232E-5,4.8554884E-5,140,1,1,200,1,0.005
272583709,EnzodellaRocca,10,2579,518,1403,13,57,42.4464565386,40-49,585,6,7,32,39,39,7,32,7,2.6608637429,381.7225442184,0.0115076276,0.2071524966,0.36666667,0,66,6.921439199953506E-5,4.793232E-5,4.8554884E-5,372,12,1,200,1,0.005
272632742,cmoon55,10,2061,375,878,11,24,41.677524275,40-49,565,6,41,74,115,115,41,74,7,2.4777368597,1320.4668318339,0.050682222,0.1194508009,0.33227944,0,66,1.929403032769429E-4,2.5164467E-4,2.5491315E-4,390,5,0,200,0,0
272809054,ALYS_tweet,10,365,228,306,5,7,22.7621942383,20-29,529,4,32,47,79,79,32,47,7,2.6156678942,291.8384067658,0.0332209799,0.1161960402,0.35454544,0,66,1.4446504306338102E-4,1.9772082E-4,2.0028891E-4,140,0,4,200,4,0.02
273012474,jasonthistle,10,2486,366,1026,6,8,47.2832340349,40-49,682,6,12,52,64,64,12,52,7,2.4743890191,344.0395274728,0.0098440443,0.1436011905,0.3036338,0,66,8.88222443245945E-5,7.789002E-5,7.8901685E-5,140,11,0,200,0,0
273038120,WinnipegFatArse,10,8802,555,948,16,154,,,735,7,72,120,192,192,72,120,6,2.3083361232,7125.6086559366,0.1117316542,0.1195462478,0.30103925,0,66,2.6836163927296367E-4,4.373824E-4,4.4306333E-4,140,13,0,200,0,0
