id,label,size,statuses_count,followers_count,friends_count,listed_count,favourites_count,klout_score,klout_score_bucket,kred_influence,kred_outreach,indegree,outdegree,degree,weighted degree,weighted indegree,weighted outdegree,eccentricity,closnesscentrality,betweenesscentrality,eigencentrality,newClusteringCoefficient,clustering,componentnumber,strongcompnum,pageranks,authority,hub,modularity_class,Interaction count
432866135,kristaknechtle,10,758,94,212,2,10,40.8894905743,40-49,573,5,2,6,8,8,2,6,7,2.9590876177,33.1159341631,9.293923679789242E-4,0.125,0.26666668,0,59,6.079619862350586E-5,2.0324514E-5,2.0571053E-5,25,6
433357633,jrmoodie,10,169,69,407,4,6,34.6396044915,30-39,381,3,3,64,67,67,3,64,6,2.3841419261,4.0102186268,0.006175215,0.3061962913,0.52876985,0,59,5.8085713067477735E-5,2.7099353E-5,2.742807E-5,25,1
433690691,dashriprock87,10,888,59,111,0,6,25.3780120253,20-29,606,5,5,3,8,8,5,3,7,3.3030412744,10.0353372341,0.0054308562,0.0714285714,0.26666668,0,59,5.836767904533522E-5,4.064903E-5,4.1142106E-5,182,2
433809465,BrandonCorban,10,2573,162,139,0,230,40.5766236495,40-49,628,5,1,1,2,2,1,1,4,2.9375,0,8.467025341918699E-5,0,0,31,107,1.535455905525994E-4,1.3549677E-5,1.3714035E-5,108,15
433867215,JehCOh13,10,3554,401,541,3,1019,44.3188509182,40-49,710,6,36,54,90,90,36,54,6,2.4047791455,2200.1386008932,0.0367495913,0.0560549313,0.21717171,0,59,1.6072776835573363E-4,2.5066902E-4,2.5370964E-4,77,7
434271579,CraigScottNDP,10,2344,3242,439,125,3,78.4593039734,70-79,770,5,480,84,564,564,480,84,6,2.434467777,19191.8383583927,0.5831499927,0.0827003263,0.14018801,0,59,0.002581306,0.0032586972,0.0032502264,25,331
435094631,Justmax360,10,185,4,26,0,0,11.5576855183,10-19,45,3,0,1,1,1,0,1,7,3.2616720955,0,0,0,0,0,196,4.766339181938244E-5,0,6.8570175E-6,77,0
435196112,GalldinRoberts,10,1364,444,536,12,2,45.3495244123,40-49,635,5,18,22,40,40,18,22,6,2.7034757422,552.3099622157,0.0280613895,0.1179487179,0.3546798,0,59,1.3234701957703942E-4,1.2872192E-4,1.3028333E-4,182,8
435233251,Kat_Kovac,10,6684,251,346,0,3945,43.5543989882,40-49,712,7,3,5,8,8,3,5,2,1.2857142857,12.5,2.519596010555675E-4,0.0535714286,0.25,18,88,3.543654428922918E-4,2.7099353E-5,2.742807E-5,39,10
435288411,ChloeB0825,10,48,48,208,1,2,16.1384832227,10-19,227,2,0,0,0,0,0,0,0,0,0,0,0,0,247,643,4.766339181938244E-5,0,0,252,1
435290720,RajeshJantilal,10,8285,463,993,6,72,42.0677807584,40-49,678,7,4,5,9,9,4,5,10,5.8048515568,1520.5663317606,4.375993315046767E-4,0.0972222222,0.1904762,0,59,2.757370417102232E-4,3.3874192E-5,3.4285087E-5,131,0
435300845,Silvia_Moggia,10,7602,705,846,8,4000,51.4686041461,50-59,742,7,1,2,3,3,1,2,7,4.1333333333,0,8.095914281419891E-5,0.1666666667,0.5,42,420,8.289285873049163E-5,1.3549677E-5,1.3714035E-5,197,12
435707754,Mikoshoes17,10,12771,387,787,4,373,37.4013851166,30-39,695,8,60,132,192,192,60,132,6,2.2592324403,4818.9492464699,0.0672590192,0.1034576789,0.29433843,0,59,1.922535340880589E-4,4.1326514E-4,4.1827807E-4,77,28
436044943,NoraRivera18,10,7246,282,378,0,104,33.273572626,30-39,724,7,1,1,2,2,1,1,2,1.6666666667,0,8.44770929948927E-5,0,0,100,225,2.205056735505623E-4,1.3549677E-5,1.3714035E-5,237,1
436088829,ytzel_karen,10,1481,210,621,0,174,36.6330732695,30-39,600,5,0,0,0,0,0,0,0,0,0,0,0,0,32,109,4.766339181938244E-5,0,0,29,0
436242761,dmdmitchell,10,3995,481,1957,4,132,45.0681217337,40-49,625,7,46,137,183,183,46,137,6,2.2291817524,7677.2029232655,0.0499451473,0.0834684441,0.19987488,0,59,1.8193217938946568E-4,3.1841738E-4,3.222798E-4,182,54
436471536,SiceloNkosi,10,454,65,321,0,22,31.7355414602,30-39,385,4,0,2,2,2,0,2,11,6.7376040536,0,0,0,0,0,344,4.766339181938244E-5,0,6.8570175E-6,131,0
436985128,PeteHelfrich,10,974,238,442,6,5,28.4148377055,20-29,606,5,16,39,55,55,16,39,6,2.622013034,494.9194483536,0.0159921264,0.1084175084,0.28414634,0,59,1.423535670554315E-4,1.1517225E-4,1.16569296E-4,175,2
437741566,jessmbradley,10,498,222,191,3,7,35.1120533032,30-39,572,4,1,5,6,6,1,5,7,2.9514844316,21.935676371,0.0020897685,0.1666666667,0.3,0,59,1.4316118675920816E-4,1.3549677E-5,1.3714035E-5,77,8
437851552,ninajeancordell,10,1127,120,456,2,20,32.6848124485,30-39,577,5,6,15,21,21,6,15,7,2.7947139754,12.758981484,0.0028742586,0.1261904762,0.32380953,0,59,6.185096024205822E-5,4.742387E-5,4.799912E-5,77,8
439278917,TakeMyNeon,10,312,6,102,0,0,22.3377194215,20-29,340,4,0,1,1,1,0,1,7,3.6659428158,0,0,0,0,0,609,4.766339181938244E-5,0,6.8570175E-6,175,2
439313680,michaelcwheeler,10,3441,974,801,23,348,50.2301778141,50-59,694,6,18,49,67,67,18,49,6,2.509775525,3510.1018644996,0.0290359662,0.158525554,0.34837663,0,59,1.2619805406455475E-4,1.2872192E-4,1.3028333E-4,25,21
439656017,vale8705,10,8443,194,361,2,529,29.4774190824,20-29,745,8,1,2,3,3,1,2,7,4.1333333333,0,8.095914281419891E-5,0.1666666667,0.5,42,568,8.289285873049163E-5,1.3549677E-5,1.3714035E-5,197,4
441973833,TwitTwitCat,10,1185,94,171,1,37,40.8432314519,40-49,542,5,8,14,22,22,8,14,6,2.8146270818,216.9451390228,0.0060791274,0.0974025974,0.33333334,0,59,9.12361161779746E-5,6.0973543E-5,6.171316E-5,77,6
442175344,Zebedee4Council,10,4181,217,181,17,100,45.7266493084,40-49,691,6,30,0,30,30,30,0,0,0,0,0.0296288431,0.291954023,0.48735633,0,26,1.7059488706466807E-4,2.1001999E-4,0,147,3
442832919,LeblancMiguel,10,3187,105,380,2,8,45.3729994594,40-49,602,6,12,50,62,62,12,50,6,2.4044170891,164.9406628038,0.0315913347,0.2239555791,0.43326345,0,59,9.962045426440421E-5,8.80729E-5,8.914123E-5,175,6
443655020,CoyoteDreams,10,3948,206,252,4,892,33.1905498315,30-39,648,7,13,19,32,32,13,19,6,2.6600289645,419.8086277258,0.0106374616,0.0846774194,0.22644928,0,59,9.590306345271391E-5,9.484774E-5,9.599824E-5,77,3
444129933,Ayoulaland,10,6729,62,168,1,17,27.3037309732,20-29,690,7,0,0,0,0,0,0,0,0,0,0,0,0,159,357,4.766339181938244E-5,0,0,157,0
444262205,BravoFourTwenty,10,7251,376,691,1,782,46.3599743796,40-49,735,7,47,52,99,99,47,52,6,2.444243302,562.3377826558,0.0597135339,0.0834879406,0.4107143,0,59,1.6425415939895694E-4,3.2519223E-4,3.2913685E-4,77,43
444909298,ChrisMcLd,10,2835,602,276,9,643,46.32867375,40-49,695,6,26,17,43,43,26,17,7,2.8830557567,463.8118823136,0.0151578819,0.1478405316,0.5788177,0,59,1.885179222016299E-4,1.8292063E-4,1.8513948E-4,175,29
445052037,Silky_Goon_14,10,785,248,206,0,636,42.7523744966,40-49,641,5,2,2,4,4,2,2,3,1.8571428571,0,1.7090505595144666E-4,0.0833333333,1,18,88,1.822445046150632E-4,2.0324514E-5,2.0571053E-5,39,31
447487582,MelanieKiers,10,111,25,134,0,7,20.4960834153,20-29,330,3,1,2,3,3,1,2,8,3.7559739319,0,1.7896312015230702E-4,0.1666666667,0.5,0,59,5.175019435976361E-5,1.3549677E-5,1.3714035E-5,175,6
447760535,Bzzengetwa,10,5813,189,359,1,10,45.6700754422,40-49,674,6,1,2,3,3,1,2,10,5.8041274439,0.6111111111,8.29872052796843E-5,0,0,0,59,5.804565185450687E-5,1.3549677E-5,1.3714035E-5,131,1
448607351,johncbarthur,10,27,9,127,0,2,15.0766692467,10-19,73,2,1,19,20,20,1,19,7,2.7378711079,7.9407905587,2.1041117984525552E-4,0.35,0.64912283,0,59,5.0123537606209666E-5,1.3549677E-5,1.3714035E-5,175,1
449187138,lunapiena19,10,11766,274,213,1,978,48.3945645031,40-49,727,8,1,2,3,3,1,2,7,4.1333333333,0,8.095914281419891E-5,0.1666666667,0.5,42,437,8.289285873049163E-5,1.3549677E-5,1.3714035E-5,197,59
450868260,OshawaNDP,10,394,166,196,6,1,40.0963869933,40-49,566,3,57,73,130,130,57,73,7,2.4348298335,1068.3699962995,0.0706608855,0.1254025045,0.38557422,0,59,1.9299964772669047E-4,3.9294062E-4,3.9770702E-4,25,20
450948816,nellyardito,10,396,33,119,0,3,25.8312492066,20-29,292,4,0,1,1,1,0,1,7,4.3571428571,0,0,0,0,42,436,4.766339181938244E-5,0,6.8570175E-6,197,0
450981938,mcmarteau,10,508,95,832,0,195,17.3261177536,10-19,378,4,1,17,18,18,1,17,7,2.7628530051,11.7654790181,0.0072676982,0.3104575163,0.4852941,0,59,5.409653606626543E-5,1.3549677E-5,1.3714035E-5,175,1
