matchup,ktau,spearman
indegree/klout_score,0.6726,0.4897
indegree/kred_influence,0.6538,0.4803
authority/indegree,0.8671,0.6904
closnesscentrality/indegree,1.0000,0.9789
betweenesscentrality/indegree,0.6726,0.4897
indegree/statuses_count,0.6538,0.4803
followers_count/indegree,-0.7467,-0.5740
eigencentrality/indegree,-0.4398,-0.3051
clustering/indegree,-0.4075,-0.2869
final_term_score/indegree,-0.7467,-0.5740
indegree/interaction_count,0.8747,0.7161
klout_score/kred_influence,0.6581,0.4805
authority/klout_score,0.6474,0.4765
closnesscentrality/klout_score,0.8747,0.7161
betweenesscentrality/klout_score,-0.7084,-0.5589
klout_score/statuses_count,0.4750,0.3316
followers_count/klout_score,0.7075,0.5181
eigencentrality/klout_score,0.8480,0.6715
clustering/klout_score,0.4750,0.3316
final_term_score/klout_score,-0.3748,-0.2640
interaction_count/klout_score,0.4985,0.3517
authority/kred_influence,0.7771,0.5988
closnesscentrality/kred_influence,0.8474,0.6615
betweenesscentrality/kred_influence,0.8719,0.6910
kred_influence/statuses_count,0.7771,0.5988
followers_count/kred_influence,-0.5351,-0.3813
eigencentrality/kred_influence,0.7404,0.5600
clustering/kred_influence,0.7069,0.5201
final_term_score/kred_influence,0.9835,0.8877
interaction_count/kred_influence,0.6476,0.4677
authority/closnesscentrality,0.6366,0.4646
authority/betweenesscentrality,0.9835,0.8877
authority/statuses_count,-0.7761,-0.6125
authority/followers_count,0.8493,0.6830
authority/eigencentrality,0.4841,0.3388
authority/clustering,0.7645,0.5821
authority/final_term_score,-0.2868,-0.2370
authority/interaction_count,-0.3809,-0.2873
betweenesscentrality/closnesscentrality,-0.4061,-0.3092
closnesscentrality/statuses_count,-0.2868,-0.2370
closnesscentrality/followers_count,0.1913,0.1597
closnesscentrality/eigencentrality,-0.3970,-0.3380
closnesscentrality/clustering,-0.2909,-0.2089
closnesscentrality/final_term_score,-0.3838,-0.2974
closnesscentrality/interaction_count,-0.2335,-0.1935
betweenesscentrality/statuses_count,0.4529,0.2893
betweenesscentrality/followers_count,0.1311,0.0817
betweenesscentrality/eigencentrality,0.1135,0.0715
betweenesscentrality/clustering,0.4529,0.2893
betweenesscentrality/final_term_score,-0.3373,-0.2142
betweenesscentrality/interaction_count,0.3093,0.1954
followers_count/statuses_count,0.0538,0.0336
eigencentrality/statuses_count,0.2025,0.1279
clustering/statuses_count,0.4666,0.2987
final_term_score/statuses_count,0.0026,0.0013
interaction_count/statuses_count,0.7861,0.5917
eigencentrality/followers_count,0.7437,0.5519
clustering/followers_count,0.7062,0.5199
final_term_score/followers_count,0.7861,0.5917
followers_count/interaction_count,-0.5115,-0.3594
clustering/eigencentrality,0.7224,0.5343
eigencentrality/final_term_score,0.4784,0.3337
eigencentrality/interaction_count,0.6848,0.5010
clustering/final_term_score,0.7502,0.5572
clustering/interaction_count,-0.3540,-0.2694
final_term_score/interaction_count,0.3007,0.1901
