matchup,ktau,spearman
indegree/klout_score,0.6487,0.4719
indegree/kred_influence,0.7096,0.5226
authority/indegree,0.7587,0.5820
closnesscentrality/indegree,1.0000,0.8327
betweenesscentrality/indegree,0.6487,0.4719
indegree/statuses_count,0.7096,0.5226
followers_count/indegree,-0.0638,-0.0518
eigencentrality/indegree,-0.2184,-0.1559
clustering/indegree,-0.1124,-0.0819
final_term_score/indegree,-0.0638,-0.0518
indegree/interaction_count,0.7044,0.4690
klout_score/kred_influence,0.4120,0.2646
authority/klout_score,0.4559,0.2945
closnesscentrality/klout_score,0.7044,0.4690
betweenesscentrality/klout_score,0.1000,0.0569
klout_score/statuses_count,0.5603,0.3929
followers_count/klout_score,0.6149,0.4446
eigencentrality/klout_score,0.8170,0.6238
clustering/klout_score,0.5603,0.3929
final_term_score/klout_score,-0.0495,-0.0373
interaction_count/klout_score,0.3376,0.2205
authority/kred_influence,0.7445,0.5467
closnesscentrality/kred_influence,0.7191,0.5498
betweenesscentrality/kred_influence,0.8098,0.6086
kred_influence/statuses_count,0.7445,0.5467
followers_count/kred_influence,-0.1522,-0.1107
eigencentrality/kred_influence,0.5249,0.3504
clustering/kred_influence,0.6610,0.4770
final_term_score/kred_influence,0.9615,0.7919
interaction_count/kred_influence,0.6177,0.4523
authority/closnesscentrality,0.6559,0.4867
authority/betweenesscentrality,0.9615,0.7919
authority/statuses_count,-0.0390,-0.0423
authority/followers_count,0.6971,0.4723
authority/eigencentrality,0.5932,0.4304
authority/clustering,0.7073,0.5267
authority/final_term_score,0.2055,0.1151
authority/interaction_count,0.0747,0.0487
betweenesscentrality/closnesscentrality,0.2052,0.1268
closnesscentrality/statuses_count,0.2055,0.1151
closnesscentrality/followers_count,0.3955,0.2765
closnesscentrality/eigencentrality,0.1050,0.0408
closnesscentrality/clustering,0.1999,0.1196
closnesscentrality/final_term_score,0.1444,0.0889
closnesscentrality/interaction_count,0.1876,0.0978
betweenesscentrality/statuses_count,0.4464,0.2935
betweenesscentrality/followers_count,0.4996,0.3430
betweenesscentrality/eigencentrality,0.5265,0.3621
betweenesscentrality/clustering,0.4464,0.2935
betweenesscentrality/final_term_score,-0.1610,-0.1021
betweenesscentrality/interaction_count,0.2633,0.1673
followers_count/statuses_count,0.2683,0.1691
eigencentrality/statuses_count,0.3666,0.2506
clustering/statuses_count,0.3657,0.2417
final_term_score/statuses_count,0.0992,0.0532
interaction_count/statuses_count,.,0.0000
eigencentrality/followers_count,,
clustering/followers_count,,
final_term_score/followers_count,,
followers_count/interaction_count,,
clustering/eigencentrality,,
eigencentrality/final_term_score,,
eigencentrality/interaction_count,,
clustering/final_term_score,,
clustering/interaction_count,,
final_term_score/interaction_count,,
